window_index,file,overlap_days,valid_ratios,median_ratio,ratio_min,ratio_max,ratio_std
1,fındık_fiyatı_20110219_20110520.csv,11,1,0.9891304347826086,0.9891304347826086,0.9891304347826086,
2,fındık_fiyatı_20110510_20110808.csv,11,0,1.0,,,
3,fındık_fiyatı_20110729_20111027.csv,11,1,1.492537313432836,1.492537313432836,1.492537313432836,
4,fındık_fiyatı_20111017_20120115.csv,11,0,1.0,,,
5,fındık_fiyatı_20120105_20120404.csv,11,0,1.0,,,
6,fındık_fiyatı_20120325_20120623.csv,11,2,0.7343137254901961,0.7333333333333333,0.7352941176470589,0.0013864838846795785
7,fındık_fiyatı_20120613_20120911.csv,11,1,1.2438375350140056,1.2438375350140056,1.2438375350140056,
8,fındık_fiyatı_20120901_20121130.csv,11,9,1.1056333644568939,1.085049764586686,1.109368612309789,0.009800454158840528
9,fındık_fiyatı_20121120_20130218.csv,11,10,0.956540380461949,0.9430402226249976,0.9656797740193125,0.0076008470664877805
10,fındık_fiyatı_20130208_20130509.csv,11,2,0.7671078737430139,0.7652323043695591,0.7689834431164688,0.002652455645111449
11,fındık_fiyatı_20130429_20130728.csv,11,5,0.7151005602689112,0.7123144541899415,0.715967348826813,0.0018761926325287024
12,fındık_fiyatı_20130718_20131016.csv,11,0,1.0,,,
13,fındık_fiyatı_20131006_20140104.csv,11,5,0.6515151515151515,0.6447368421052632,0.6585365853658537,0.005921780504743187
14,fındık_fiyatı_20131225_20140325.csv,11,9,0.7492424242424243,0.7364953886693016,0.7638453500522466,0.00790428012234727
15,fındık_fiyatı_20140315_20140613.csv,11,5,1.1109456635318704,1.092645202020202,1.1377384960718293,0.0191464192900278
16,fındık_fiyatı_20140603_20140901.csv,11,7,1.0697995278455048,1.0524748391354561,1.1109456635318704,0.0191660042952045
17,fındık_fiyatı_20140822_20141120.csv,11,11,1.458817537971143,1.4386959167577478,1.4745885383816417,0.013536070112811348
18,fındık_fiyatı_20141110_20150208.csv,11,11,2.0309028469794344,1.9450900506281907,2.0423445531596003,0.027069585233052595
19,fındık_fiyatı_20150129_20150429.csv,11,11,2.0309028469794344,2.0309028469794344,2.0309028469794344,4.657646926676369e-16
20,fındık_fiyatı_20150419_20150718.csv,11,9,0.8592281275682223,0.8462095195747642,0.8703869344197576,0.008958152696609222
21,fındık_fiyatı_20150708_20151006.csv,11,11,1.850645197839248,1.8002875053810374,1.9332632870285,0.041534764056831174
22,fındık_fiyatı_20150926_20151225.csv,11,11,3.4835674312268194,3.405187164024216,3.5207396446697885,0.03174958993072787
23,fındık_fiyatı_20151215_20160314.csv,11,11,3.4835674312268194,3.483567431226819,3.48356743122682,1.9860273225978183e-16
24,fındık_fiyatı_20160304_20160602.csv,11,11,4.617752176277412,4.572182253485201,4.750319224400209,0.06361520955550276
25,fındık_fiyatı_20160523_20160821.csv,11,11,3.3709590886825107,3.3417943380954953,3.420557167612898,0.02506942096972013
26,fındık_fiyatı_20160811_20161109.csv,11,11,4.95729277747428,4.936047236999391,5.1145586173113955,0.06363405604209192
27,fındık_fiyatı_20161030_20170128.csv,11,11,3.0831942884291257,3.058755118016045,3.106570140550549,0.013245567509026043
28,fındık_fiyatı_20170118_20170418.csv,11,11,2.9414382291910046,2.907011757661747,2.976877244000535,0.021583574544196894
29,fındık_fiyatı_20170408_20170707.csv,11,11,1.6255316529739763,1.5838513541797719,1.66255204258622,0.020354156205689422
30,fındık_fiyatı_20170627_20170925.csv,11,11,3.7155009210833745,3.5466145155795847,3.83161032486723,0.08399338735319561
31,fındık_fiyatı_20170915_20171214.csv,11,11,2.0596798584266534,2.034679075831372,2.1031137289151176,0.017772688563186208
32,fındık_fiyatı_20171204_20180304.csv,11,11,0.8444687419549278,0.8310988902423337,0.8600860947276134,0.009506701981062715
33,fındık_fiyatı_20180222_20180523.csv,11,10,0.5581901488428409,0.5507404838836486,0.5629791613032852,0.004592029138137397
34,fındık_fiyatı_20180513_20180811.csv,11,8,1.9429310950106577,1.8978465060656589,2.0334069707846347,0.05790809643140887
35,fındık_fiyatı_20180801_20181030.csv,11,11,4.317624655579239,4.209684039189758,4.42556527196872,0.056836633195055074
36,fındık_fiyatı_20181020_20190118.csv,11,11,4.317624655579239,4.317624655579239,4.317624655579239,9.315293853352739e-16
37,fındık_fiyatı_20190108_20190408.csv,11,11,0.777172438004263,0.7555843147263669,0.8168479078122886,0.017534904768853277
38,fındık_fiyatı_20190329_20190627.csv,11,10,0.5343060511279308,0.5181149586695087,0.54255434351241,0.007537762445915854
39,fındık_fiyatı_20190617_20190915.csv,11,4,4.969046275489757,4.915615670376964,5.343060511279308,0.20228500619746623
40,fındık_fiyatı_20190905_20191204.csv,11,11,2.008763387963944,1.9718437601149827,2.056157079513003,0.024680243395807048
41,fındık_fiyatı_20191124_20200222.csv,11,11,0.9039435245837749,0.8927837279839752,0.9343085525413694,0.014014999644808157
42,fındık_fiyatı_20200212_20200512.csv,11,11,0.6387867573725342,0.625807055481075,0.6528481010882818,0.006532560932977815
43,fındık_fiyatı_20200502_20200731.csv,11,10,3.1939337868626714,3.034237097519538,3.3100768336576776,0.10232984594561106
44,fındık_fiyatı_20200721_20201019.csv,11,11,3.1939337868626714,3.193933786862671,3.193933786862672,6.121347318850488e-16
45,fındık_fiyatı_20201009_20210107.csv,11,11,1.1767124477915105,1.14409568484633,1.1909583612030301,0.01575620667318269
46,fındık_fiyatı_20201228_20210328.csv,11,11,1.6046078833520598,1.5532604310847937,1.617979615713327,0.018637760934715742
47,fındık_fiyatı_20210318_20210616.csv,11,11,1.5428921955308268,1.5299749585449873,1.571178552448892,0.011179137117565135
48,fındık_fiyatı_20210606_20210904.csv,11,11,3.567938202165037,3.4715074399443604,3.7286561391994977,0.09849352756452286
49,fındık_fiyatı_20210825_20211123.csv,11,11,1.2822277914030602,1.2553856637247351,1.301815289979135,0.014981810971111972
50,fındık_fiyatı_20211113_20220211.csv,11,11,1.6544874727781422,1.6027847392538253,1.6925406846520394,0.027565244866374385
51,fındık_fiyatı_20220201_20220502.csv,11,10,0.6186801672570807,0.5956154902001312,0.6243348953879783,0.009150628671449003
52,fındık_fiyatı_20220422_20220721.csv,11,9,0.5530625737601176,0.5361894782894701,0.5691857538765143,0.008973475616137932
53,fındık_fiyatı_20220711_20221009.csv,11,11,10.87689728394898,9.955126327682116,12.167376622722587,0.7997319896255808
54,fındık_fiyatı_20220929_20221228.csv,11,11,0.9191744183618856,0.8208979082225645,0.9888088439953618,0.05921532293290765
55,fındık_fiyatı_20221218_20230318.csv,11,11,0.7586836469018738,0.7508748769716812,0.7642573815593207,0.004587285160715603
56,fındık_fiyatı_20230308_20230606.csv,11,11,0.6136411849941626,0.6092459588757472,0.6207411656469878,0.0037407964311784846
57,fındık_fiyatı_20230527_20230825.csv,11,11,4.383151321386876,4.172760057960306,4.786401242954469,0.23094237206782237
58,fındık_fiyatı_20230815_20231113.csv,11,11,3.65262610115573,3.5613104486268368,3.8352574062135165,0.0853995973999842
59,fındık_fiyatı_20231103_20240201.csv,11,11,1.240514524920814,1.1975823282477804,1.2574614446601695,0.019719074593648356
60,fındık_fiyatı_20240122_20240421.csv,11,11,0.8223635614643598,0.8146662551718779,0.8270096832805427,0.004513983358604245
61,fındık_fiyatı_20240411_20240710.csv,11,10,0.5586198192518617,0.5482423743095732,0.5678224591063438,0.005010730376573255
62,fındık_fiyatı_20240630_20240928.csv,11,11,4.538786031421376,4.309352891371504,4.8041304455660105,0.16125292902383562
63,fındık_fiyatı_20240918_20241217.csv,11,11,1.1623720324371816,1.134696507855344,1.191431333248111,0.01729763016911182
64,fındık_fiyatı_20241207_20250307.csv,11,11,0.6741757788135654,0.6642125899641038,0.6808179047132064,0.005591603666173486
65,fındık_fiyatı_20250225_20250526.csv,11,9,1.2604155864775353,1.23598892782487,1.2786092356808998,0.014745987288331902
66,fındık_fiyatı_20250516_20250814.csv,11,10,1.7520994444874916,1.7052681464107828,1.7819668636406532,0.021995634548208822
67,fındık_fiyatı_20250804_20251102.csv,11,11,1.7520994444874916,1.7520994444874916,1.7520994444874918,7.021666937153402e-17
68,fındık_fiyatı_20251023_20251231.csv,11,11,0.9125517940039019,0.9025966835238592,0.9296854195239751,0.009416195400465913
