date,fındık fiyatı
2011-07-29,67
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,87
2011-09-06,88
2011-09-07,67
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,95
2011-09-13,66
2011-09-14,0
2011-09-15,0
2011-09-16,78
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,79
2011-09-21,0
2011-09-22,100
2011-09-23,70
2011-09-24,0
2011-09-25,95
2011-09-26,0
2011-09-27,66
2011-09-28,0
2011-09-29,0
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,0
2011-10-04,0
2011-10-05,0
2011-10-06,0
2011-10-07,0
2011-10-08,0
2011-10-09,83
2011-10-10,0
2011-10-11,0
2011-10-12,75
2011-10-13,76
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,0
