date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2010-01-01,17.5,10.0,14.8,5.5,0.0,0.0,28.1,3.38
2010-01-02,17.7,9.9,15.5,8.7,12.0,12.0,28.7,2.68
2010-01-03,12.7,8.2,10.9,5.9,1.2,1.2,15.1,0.81
2010-01-04,8.8,1.2,7.2,-3.1,15.7,12.8,24.8,0.52
2010-01-05,5.6,-0.1,2.9,-3.7,0.5,0.2,11.7,0.78
2010-01-06,14.1,2.4,10.7,-2.0,0.0,0.0,14.4,1.94
2010-01-07,17.0,5.7,14.6,2.3,0.0,0.0,13.7,1.9
2010-01-08,15.1,5.4,12.7,2.9,0.0,0.0,8.7,1.31
2010-01-09,16.6,5.5,14.5,2.7,0.0,0.0,12.0,1.97
2010-01-10,17.2,10.1,15.6,6.2,0.0,0.0,16.9,2.44
2010-01-11,13.5,6.5,10.5,3.8,7.7,7.7,17.1,1.38
2010-01-12,12.8,6.5,10.1,3.3,0.3,0.3,12.0,1.47
2010-01-13,11.7,7.9,10.5,5.0,1.3,1.3,13.8,0.67
2010-01-14,14.0,7.1,12.1,4.8,7.6,7.6,9.9,0.86
2010-01-15,9.1,7.0,6.9,4.9,12.1,12.1,14.0,0.44
2010-01-16,8.0,7.0,5.8,4.3,9.7,9.7,12.7,0.33
2010-01-17,10.0,7.2,7.8,4.5,5.2,5.2,13.7,0.44
2010-01-18,12.5,7.9,11.5,6.5,5.1,5.1,9.4,0.86
2010-01-19,12.3,8.9,10.6,7.7,2.9,2.9,10.5,0.59
2010-01-20,10.0,7.8,8.4,5.4,6.4,6.4,12.1,0.45
2010-01-21,9.1,5.3,6.8,2.0,7.4,7.4,17.2,0.52
2010-01-22,9.7,4.4,6.1,2.0,0.6,0.6,16.9,1.27
2010-01-23,11.9,7.1,10.0,3.9,5.5,5.5,16.9,0.97
2010-01-24,7.0,1.3,3.8,-2.5,25.8,16.6,17.2,0.37
2010-01-25,1.0,-2.3,-3.0,-8.1,21.3,5.7,21.3,0.45
2010-01-26,-1.8,-10.1,-6.6,-14.5,8.8,0.7,23.3,0.68
2010-01-27,-0.6,-10.8,-4.7,-15.3,0.0,0.0,15.4,0.85
2010-01-28,5.7,-1.7,3.4,-6.6,0.4,0.4,13.8,0.65
2010-01-29,9.6,2.3,4.7,-1.7,0.2,0.2,21.4,1.93
2010-01-30,9.1,4.2,6.4,0.6,2.9,2.9,12.0,1.37
2010-01-31,13.7,6.0,11.5,3.0,0.0,0.0,11.4,1.79
2010-02-01,14.2,8.5,12.3,4.5,0.7,0.7,16.4,2.17
2010-02-02,14.2,6.8,12.0,4.1,0.0,0.0,17.4,1.92
2010-02-03,12.5,2.3,11.5,-2.9,14.8,6.7,29.0,0.86
2010-02-04,2.8,1.5,-2.6,-4.1,4.7,1.6,22.6,1.04
2010-02-05,3.5,1.5,-1.9,-4.2,9.0,4.5,29.3,0.83
2010-02-06,4.9,0.4,1.3,-4.3,0.2,0.2,14.8,0.97
2010-02-07,10.8,-0.2,7.4,-4.8,0.0,0.0,14.1,1.7
2010-02-08,11.2,4.3,8.5,0.7,0.0,0.0,12.1,1.5
2010-02-09,12.9,5.5,10.1,3.8,0.0,0.0,12.0,1.63
2010-02-10,11.5,4.1,8.8,2.1,0.1,0.1,13.7,1.45
2010-02-11,14.4,7.0,11.8,3.0,1.1,1.1,14.9,1.92
2010-02-12,15.9,9.0,14.5,6.6,0.1,0.1,14.6,1.74
2010-02-13,16.7,10.0,13.7,6.6,0.0,0.0,18.7,3.03
2010-02-14,14.2,7.8,11.8,5.7,0.0,0.0,22.8,2.1
2010-02-15,20.5,11.1,15.7,9.8,0.0,0.0,27.8,3.81
2010-02-16,10.8,6.2,10.1,3.7,5.2,5.2,12.7,0.52
2010-02-17,16.1,5.8,13.3,3.0,0.9,0.9,13.0,1.82
2010-02-18,14.3,8.4,13.4,6.5,0.4,0.4,11.7,1.64
2010-02-19,12.8,8.3,11.2,6.7,6.5,6.5,13.2,0.84
2010-02-20,18.8,8.0,14.4,5.7,0.0,0.0,26.8,3.46
2010-02-21,19.2,9.5,17.4,5.5,5.4,5.4,25.7,2.27
